2019-10-07 18:45:55,898 - xplane-remote#init_xp_remote - DEBUG - Start Server.
2019-10-07 18:45:55,911 - xplane-remote#init_xp_remote - DEBUG - Server started.
2019-10-07 18:45:55,912 - xplane-remote#trainings_set02 - INFO - run trainings_set02
2019-10-07 19:40:34,649 - xplane-remote#fly - INFO - {'start_altitude': 3000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 2}
2019-10-07 19:41:40,459 - xplane-remote#fly - INFO - {'start_altitude': 3000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 3}
2019-10-07 19:42:41,637 - xplane-remote#fly - INFO - {'start_altitude': 3000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 3}
2019-10-07 19:43:22,383 - xplane-remote#fly - INFO - {'start_altitude': 3000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 4}
2019-10-07 19:44:17,993 - xplane-remote#fly - INFO - {'start_altitude': 3000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 4}
2019-10-07 19:44:57,361 - xplane-remote#fly - INFO - {'start_altitude': 3500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 1}
2019-10-07 19:47:55,436 - xplane-remote#fly - INFO - {'start_altitude': 3500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 1}
2019-10-07 19:50:08,146 - xplane-remote#fly - INFO - {'start_altitude': 3500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 2}
2019-10-07 19:51:13,671 - xplane-remote#fly - INFO - {'start_altitude': 3500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 2}
2019-10-07 19:52:31,409 - xplane-remote#fly - INFO - {'start_altitude': 3500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 3}
2019-10-07 19:53:16,933 - xplane-remote#fly - INFO - {'start_altitude': 3500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 3}
2019-10-07 19:54:18,717 - xplane-remote#fly - INFO - {'start_altitude': 3500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 4}
2019-10-07 19:54:57,563 - xplane-remote#fly - INFO - {'start_altitude': 3500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 4}
2019-10-07 19:55:55,009 - xplane-remote#fly - INFO - {'start_altitude': 4000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 1}
2019-10-07 19:59:02,476 - xplane-remote#fly - INFO - {'start_altitude': 4000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 1}
2019-10-07 20:01:15,954 - xplane-remote#fly - INFO - {'start_altitude': 4000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 2}
2019-10-07 20:02:30,264 - xplane-remote#fly - INFO - {'start_altitude': 4000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 2}
2019-10-07 20:05:58,610 - xplane-remote#fly - INFO - {'start_altitude': 4000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 3}
2019-10-07 20:07:04,996 - xplane-remote#fly - INFO - {'start_altitude': 4000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 3}
2019-10-07 20:08:08,771 - xplane-remote#fly - INFO - {'start_altitude': 4000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 4}
2019-10-07 20:09:06,139 - xplane-remote#fly - INFO - {'start_altitude': 4000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 4}
2019-10-07 20:10:04,877 - xplane-remote#fly - INFO - {'start_altitude': 4500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 1}
2019-10-07 20:13:18,772 - xplane-remote#fly - INFO - {'start_altitude': 4500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 1}
2019-10-07 20:15:25,825 - xplane-remote#fly - INFO - {'start_altitude': 4500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 2}
2019-10-07 20:16:40,393 - xplane-remote#fly - INFO - {'start_altitude': 4500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 2}
2019-10-07 20:17:58,244 - xplane-remote#fly - INFO - {'start_altitude': 4500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 3}
2019-10-07 20:18:59,660 - xplane-remote#fly - INFO - {'start_altitude': 4500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 3}
2019-10-07 20:20:03,862 - xplane-remote#fly - INFO - {'start_altitude': 4500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 4}
2019-10-07 20:21:01,379 - xplane-remote#fly - INFO - {'start_altitude': 4500, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 4}
2019-10-07 20:22:01,505 - xplane-remote#fly - INFO - {'start_altitude': 5000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 1}
2019-10-07 20:25:12,404 - xplane-remote#fly - INFO - {'start_altitude': 5000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 1}
2019-10-07 20:27:04,526 - xplane-remote#fly - INFO - {'start_altitude': 5000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 2}
2019-10-07 20:28:24,036 - xplane-remote#fly - INFO - {'start_altitude': 5000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 2}
2019-10-07 20:29:23,707 - xplane-remote#fly - INFO - {'start_altitude': 5000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 3}
2019-10-07 20:30:28,374 - xplane-remote#fly - INFO - {'start_altitude': 5000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 3}
2019-10-07 20:31:11,978 - xplane-remote#fly - INFO - {'start_altitude': 5000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': 90.0, 'bank_angle': 4}
2019-10-07 20:32:12,466 - xplane-remote#fly - INFO - {'start_altitude': 5000, 'climb': 0, 'climb_rate': 500.0, 'heading_change': -90.0, 'bank_angle': 4}
2019-10-07 20:32:51,665 - xplane-remote#close_xp_remote - DEBUG - Shutdown Server.
2019-10-07 20:32:51,670 - xplane-remote#close_xp_remote - DEBUG - Server shutdown.
