2019-10-17 09:35:19,983 - xplane-remote#init_xp_remote - DEBUG - Start Server.
2019-10-17 09:35:19,988 - xplane-remote#init_xp_remote - DEBUG - Server started.
2019-10-17 09:35:19,989 - xplane-remote#trainings_set06 - INFO - run trainings_set06
2019-10-17 10:06:47,266 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 500, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:07:23,293 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -600, 'climb_rate': 500, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:08:47,413 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:09:08,438 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:09:40,469 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:10:02,507 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:10:34,545 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:10:56,565 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:11:28,592 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:11:50,617 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:12:22,638 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:12:44,679 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:13:16,710 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -100, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:13:38,734 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': 200, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:14:10,798 - xplane-remote#fly - INFO - {'start_altitude': -1, 'climb': -600, 'climb_rate': 600, 'heading_change': 0, 'bank_angle': 0}
2019-10-17 10:15:22,930 - xplane-remote#close_xp_remote - DEBUG - Shutdown Server.
2019-10-17 10:15:22,933 - xplane-remote#close_xp_remote - DEBUG - Server shutdown.
